time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.0164	1105.000	62966.3	0.629663	62966.3	4.5	1104.37	1100	-nan(ind)	1017.67	809.878	62966.3	2.21449e-11	0.41793	0	0	0.0162037	0.983796	0.0817901	0.60571	0.133488	0.179012	1	0	0
3.0165	1105.000	62865.4	0.628654	62865.4	4.5	1104.37	1100	-nan(ind)	1017.67	809.877	62865.4	2.21452e-11	0.100912	0	0	0.0115741	0.988426	0.0802469	0.609568	0.131944	0.178241	1	0	0
3.0166	1105.000	63181	0.63181	63181	4.5	1104.37	1100	-nan(ind)	1017.68	809.879	63181	2.21443e-11	-0.315613	0	0	0.0115741	0.988426	0.0802469	0.607253	0.133488	0.179012	1	0	0
3.0167	1105.000	62940.1	0.629401	62940.1	4.5	1104.37	1100	-nan(ind)	1017.67	809.88	62940.1	2.21446e-11	0.240882	0	0	0.0115741	0.988426	0.087963	0.599537	0.134259	0.178241	1	0	0
3.0168	1105.000	62422.6	0.624226	62422.6	4.5	1104.38	1100	-nan(ind)	1017.66	809.868	62422.6	2.21471e-11	0.517568	0	0	0.0115741	0.988426	0.0833333	0.608025	0.133488	0.175154	1	0	0
3.0169	1105.000	62339	0.62339	62339	4.5	1104.38	1100	-nan(ind)	1017.67	809.86	62339	2.21483e-11	0.0835292	0	0	0.0115741	0.988426	0.0848765	0.609568	0.130401	0.175154	1	0	0
3.017	1105.000	62492.1	0.624921	62492.1	4.5	1104.38	1100	-nan(ind)	1017.68	809.855	62492.1	2.21486e-11	-0.153025	0	0	0.00694444	0.993056	0.0817901	0.611883	0.131173	0.175154	1	0	0
3.0171	1105.000	62005.4	0.620054	62005.4	4.5	1104.38	1100	-nan(ind)	1017.66	809.85	62005.4	2.21501e-11	0.486618	0	0	0.0115741	0.988426	0.0833333	0.611883	0.12963	0.175154	1	0	0
3.0172	1105.000	61668.9	0.616689	61668.9	4.5	1104.38	1100	-nan(ind)	1017.66	809.842	61668.9	2.21518e-11	0.336509	0	0	0.0138889	0.986111	0.0817901	0.616512	0.128858	0.17284	1	0	0
3.0173	1105.000	61837.8	0.618378	61837.8	4.5	1104.38	1100	-nan(ind)	1017.66	809.844	61837.8	2.21512e-11	-0.168915	0	0	0.0115741	0.988426	0.0787037	0.624228	0.122685	0.174383	1	0	0
3.0174	1105.000	62063.2	0.620632	62063.2	4.5	1104.38	1100	-nan(ind)	1017.67	809.849	62063.2	2.21501e-11	-0.225402	0	0	0.0115741	0.988426	0.0802469	0.628086	0.114969	0.176698	1	0	0
3.0175	1105.000	62083.5	0.620835	62083.5	4.5	1104.38	1100	-nan(ind)	1017.67	809.852	62083.5	2.21498e-11	-0.0202543	0	0	0.0115741	0.988426	0.0833333	0.622685	0.116512	0.177469	1	0	0
3.0176	1105.000	62446.6	0.624466	62446.6	4.5	1104.38	1100	-nan(ind)	1017.67	809.859	62446.6	2.21482e-11	-0.36312	0	0	0.0185185	0.981481	0.0817901	0.628858	0.111883	0.177469	1	0	0
3.0177	1105.000	62950.1	0.629501	62950.1	4.5	1104.37	1100	-nan(ind)	1017.69	809.864	62950.1	2.21466e-11	-0.503468	0	0	0.0162037	0.983796	0.0802469	0.631173	0.108025	0.180556	1	0	0
3.0178	1105.000	62951	0.62951	62951	4.5	1104.37	1100	-nan(ind)	1017.69	809.867	62951	2.21462e-11	-0.000877893	0	0	0.0138889	0.986111	0.0817901	0.628086	0.109568	0.180556	1	0	0
3.0179	1105.000	62628.1	0.626281	62628.1	4.5	1104.37	1100	-nan(ind)	1017.68	809.86	62628.1	2.21477e-11	0.322837	0	0	0.0138889	0.986111	0.0817901	0.623457	0.114198	0.180556	1	0	0
